,0
0,à
1,À
2,á
3,Á
4,â
5,Â
6,ã
7,Ã
8,ä
9,Ä
10,å
11,Å
12,ā
13,Ā
14,ă
15,Ă
16,ą
17,Ą
18,ç
19,Ç
20,ć
21,Ć
22,ĉ
23,Ĉ
24,ċ
25,Ċ
26,č
27,Č
28,ď
29,Ď
30,đ
31,Đ
32,è
33,È
34,é
35,É
36,ê
37,Ê
38,ë
39,Ë
40,ē
41,Ē
42,ĕ
43,Ĕ
44,ė
45,Ė
46,ę
47,Ę
48,ě
49,Ě
50,ĝ
51,Ĝ
52,ğ
53,Ğ
54,ġ
55,Ġ
56,ģ
57,Ģ
58,ĥ
59,Ĥ
60,ħ
61,Ħ
62,ì
63,Ì
64,í
65,Í
66,î
67,Î
68,ï
69,Ï
70,ĩ
71,Ĩ
72,ī
73,Ī
74,ĭ
75,Ĭ
76,ı
78,İ
80,į
81,Į
82,ĵ
83,Ĵ
84,ķ
85,Ķ
86,ĸ
88,ĺ
89,Ĺ
90,ļ
91,Ļ
92,ľ
93,Ľ
94,ŀ
95,Ŀ
96,ł
97,Ł
98,ñ
99,Ñ
100,ń
101,Ń
102,ņ
103,Ņ
104,ň
105,Ň
106,ŋ
107,Ŋ
108,ò
109,Ò
110,ó
111,Ó
112,ô
113,Ô
114,ö
115,Ö
116,õ
117,Õ
118,ø
119,Ø
120,ō
121,Ō
122,ŏ
123,Ŏ
124,ő
125,Ő
126,ŕ
127,Ŕ
128,ŗ
129,Ŗ
130,ř
131,Ř
132,ś
133,Ś
134,ŝ
135,Ŝ
136,ş
137,Ş
138,š
139,Š
140,ţ
141,Ţ
142,ť
143,Ť
144,ŧ
145,Ŧ
146,ù
147,Ù
148,ú
149,Ú
150,û
151,Û
152,ü
153,Ü
154,ũ
155,Ũ
156,ů
157,Ů
158,ū
159,Ū
160,ŭ
161,Ŭ
162,ű
163,Ű
164,ų
165,Ų
166,ŵ
167,Ŵ
168,ý
169,Ý
170,ÿ
171,Ÿ
172,ŷ
173,Ŷ
174,ź
175,Ź
176,ż
177,Ż
178,ž
179,Ž
